ID,Symbol
1000435,BBQ
1000309,LURPIS
100,4-Pool
1000771,KSM
1000235,N/A
1000021,PINK
1000722,N/A
1000619,N/A
1000350,PAD
1000272,love
1000639,LOVA
1000027,web3
1000124,JAM
1000408,PLS
1000177,BUNS
1000197,NCTR
1000244,OK
1000305,BBB
1000250,CPcoin
1000229,DMX
1000819,N/A
1000275,NaCl
1000494,JAMTON
1000078,CHAOS
0,HDX
1000384,DON
1000548,N/A
1000187,SHIB
1000076,LEAP
1000595,N/A
1000761,N/A
1000646,N/A
10,USDT
1000576,N/A
1000303,CDOG
1001,aDOT
1000700,N/A
1000139,MOON
1000823,N/A
1000228,DWH
1000240,MCP
1000110,GAVIN
1000516,NAR
1000186,Cypress
4,WETH
1000077,N/A
1000206,ETH
1000080,BOOTY
1000193,StabCP
1000801,N/A
21,USDC
1000361,GWIF
1000292,B
28,KILT
1000512,GREEN
20,WETH
1000198,XLM.s
1000301,PI
1000170,BEAST
1000770,N/A
30,MYTH
1000397,DIO
1000120,CLAY
1000208,test1
1000578,N/A
1000647,N/A
1000266,N/A
1000158,HYDRA
1000554,N/A
1000550,N/A
101,2-Pool
1000363,PKSK
1000082,WIFD
1000447,V
1000704,N/A
1000290,GIT
34,ETH
1000271,GAME
1000672,N/A
1000129,JAMD
1000816,N/A
16,GLMR
1000607,N/A
1000210,ETH
11,iBTC
1000268,N/A
1000071,N/A
1000754,N/A
1000858,N/A
1000433,RIDEMY
1000392,TOP
1000444,ZALUPA
1000651,N/A
1000104,GAME
1000248,JBM
1000085,WUD
1000840,N/A
1000153,KRAK
1000042,N/A
1000118,SKEM
1000630,N/A
1000614,N/A
1000756,N/A
1000774,N/A
1000768,N/A
1000764,N/A
1000570,N/A
1000220,N/A
1000182,N/A
1000242,MDMA
1000060,GAVUN
1000148,BORK
1000737,N/A
1000711,N/A
1000604,N/A
1000099,ACA
1000708,N/A
1000766,USDC
1000527,ANU
1000171,CATNIP
14,BNC
1006,atBTC
6,APE
1000648,N/A
1000796,LDO
1000791,N/A
19,WBTC
1000860,N/A
1000354,DDT
1000136,WOOD
1000261,N/A
1000696,N/A
1000053,WETH
1000211,SOLETH
1000733,N/A
1000795,SKY
1000108,N/A
1000094,DAL
1000205,ETH
1000150,PEPE
1000134,COCOA
1000199,KOL
1000322,dog
1000159,HYDRA
1000345,DTS
1000449,HELLO
1000122,N/A
1000162,UNION
1000649,N/A
1000219,PP
1000181,EURC.s
1000259,N/A
1000519,Ax
31,RING
1000356,DONUT
33,vASTR
1000487,AAPL
1000209,PBTC
1000613,N/A
1000838,N/A
1000117,N/A
1000217,N/A
1000821,N/A
1000121,N/A
1000123,GRL
1000028,PINT
1000280,china
1000054,LEEMO
1000772,N/A
1000540,KAIBYO
1000222,NOTDED
15,vDOT
1000597,N/A
1000106,TOM
1000521,TAG
1000284,PM
1000089,clay
1000184,USDT
1000794,LINK
1000750,N/A
1000593,N/A
1000163,DOTTY
1000638,N/A
1000676,N/A
1000051,undefinedb
2,DAI
1000762,N/A
1000518,Grift 
1000348,NOFUN
1000473,0x4b61696279c58d
1000140,COCA
1000070,WOOD
1000335,.WH
1000091,BNDT
13,CFG
1000059,ASX
1002,aUSDT
1000151,PEPE
32,AJUN
1000715,N/A
1000440,DUW
1000393,KEK
1000745,sUSDS
27,CRU
1000625,sUSDe
1000639,N/A
1000295,MRSHE
1000692,N/A
1000058,COLA
1000678,N/A
1000102,BOMB
1000832,N/A
1000507,GR
1000717,N/A
1000020,N/A
1000050,HDXb
1000797,N/A
1000365,LUCKY
1000196,Meme
1000314,XCMS
1000337,Shit
1000010,HDXb
1000142,GOVD
29,PLMC
1000125,PXPS
1000238,N/A
1000721,N/A
1000391,BOYS
102,2-Pool
1000246,CPDOT
1000637,N/A
1000753,SUI
1000546,DOTMA
1000603,N/A
1000288,TM
1000777,N/A
1000262,N/A
5,DOT
18,DAI
1000850,N/A
7,USDC
1000624,AAVE
1000418,MONAD
1000367,SHIVER
26,NODL
1000798,N/A
1000034,STINK
3370,LAOS
1003,aUSDC
1000214,N/A
1000216,N/A
1000782,N/A
1000740,N/A
1000185,WUD
1000631,N/A
1000146,DOGE
1000731,N/A
1000172,TZS.s
1000257,ELONA
1000680,N/A
1000617,N/A
1000470,usdc
1000190,WBTC
1000706,N/A
1000073,GBILL
1000641,N/A
1000825,N/A
1000264,N/A
1000429,ALPHA
22,USDC
1000029,DANGER
1000231,GAVUN
1005,avDOT
1000252,N/A
1000202,gold
1000065,PDOG
1000503,DVCAT
1000312,POLISD
1000779,N/A
1000203,N/A
1000191,GVN
1000167,CLAY
1000828,N/A
1000103,PLAY
1000207,test1
1000226,N/A
1000307,X
24,SUB
1000357,O
1000038,DOTA
1000524,SOPHIA
1000626,sUSDS
1000702,N/A
8,PHA
1000318,DDOT
1000173,NIPS
1000477,$JAM
1000814,N/A
1000221,DOTCOIN
1000180,N/A
1000138,NFLR
1000352,CORE
1000376,MODE
1000416,TATE
1000326,VRN
1000809,wstETH
1000713,N/A
1000333,0xf09f9980
1000274,LFG
1000095,N/A
1000834,N/A
1000698,N/A
1000179,JUNK
1000105,TAPE
1000577,N/A
1000069,T54
1000623,N/A
1000297,SANTA
1000269,N/A
1000263,N/A
1000741,N/A
1000530,BIFF
1000734,N/A
1000727,N/A
1000100,LDOT
1000052,N/A
1004,aWBTC
1000128,DAO
1000230,AUDD.s
1000055,KNRY
1000331,H@SH
1000390,ANGRY
1000767,USDT
1000627,N/A
1000748,N/A
1000765,tBTC
1000144,STEEBOR
1,H2O
1000019,DED
1000215,N/A
1000166,N/A
252525,EWT
12,ZTG
1000807,N/A
1000081,PEN
1000453,Mill
1000035,BEER
1000369,NIN
3,WBTC
1000616,N/A
1000755,N/A
1000587,N/A
1000572,N/A
1000618,N/A
1000155,DOGE
1000258,DEDX
1000599,N/A
1000601,N/A
17,INTR
1000431,MAXCAT
25,UNQ
1000025,DED
1000746,EURC.s
1000096,HASH
1000738,N/A
1000036,BEEFY
1000622,N/A
23,USDT
1000359,$PGH
1000013,HDXb
1000195,PEPE
1000282,TP
1000851,N/A
1000810,N/A
1000174,DUCK
1000294,BRL.s
1000299,WOLF
1000612,N/A
1000410,GOOD
1000467,WUDFUD
1000539,MDGA
1000608,N/A
1000615,N/A
1000339,KSM
1000320,TDC
1000329,FKDC
1000725,N/A
1000119,N/A
1000256,Coin68
1000062,GABE
1000479,DUD
9,ASTR
1000131,CATWIF
1000856,N/A
1000286,DAMN
1000471,BNG
1000324,PIGS
1000492,SAPIEN
1000382,DOTZ
1000023,ICE
1000278,ALIEN
1000239,CHUG
1000342,VOR
1000178,WBTC
1000026,EFI
1000752,SOL
1000635,N/A
1000189,WETH
1000311,COKE
1000657,N/A
1000633,N/A
35,TRAC
